label,text
2,"defiro o benefício da justiça gratuita, nos termos do § 3°, artigo 790, da clt e das orientações jurisprudenciais n. 304 e 331, da sdi-i, do c. julgo improcedentes os pleitos de aviso prévio, fgts com multa de 40% (quarenta por cento), multa do artigo 477 da clt e diferença de salários do período de março/2015 a novembro/2015 das horas extraordinárias. julgo procedentes os pedidos de horas extraordinárias, nos seguintes termos, de acordo com os seguintes parâmetros: a) horário de trabalho constante dos cartões de ponto, sendo que na ausência desses, deve ser considerado o horário de trabalho apontado na exordial b) horas excedentes a oitava diária e quadragésima quarta semanal b) adicionais normativos, e, na ausência de convenção coletiva, deve ser considerado o adicional legal c) divisor 220 d) base de cálculo: valor salarial informado nos contracheques anexados ao feito e na ausência deve ser considerado o salário informado na exordial e) julgo procedentes os reflexos das horas extras habituais sobre aviso prévio, férias com um terço, fgts com multa de 40%, décimo terceiro salário e repouso semanal remunerado. homologo as conclusões do laudo residente nos autos, para decidir que, presente o nexo de causalidade, é cabível a responsabilização da reclamada pela ocorrência da doença descrita na petição inicial quanto ao valor a ser devido a título de reparação moral para a reclamante, perfilho do entendimento deste regional no sentido de que deve ser levados em consideração o tipo de dano, a gravidade deste, a natureza e a intensidade da sua repercussão e o caráter da indenização, que deve servir de conforto para a vítima e ser pedagógica para o empregador, sem, entretanto, ser objeto de enriquecimento do ofendido. julgo procedente o pedido de indenização por danos morais no valor que arbitro em r$ 10.000,00 (dez mil reais). julgo improcedente o respectivo pedido, tendo em vista que o perito informou a aptidão da reclamante para o trabalho como separadora com limitação temporária para atividades que exijam levantamento e transporte manual de cargas pesadas e esforço excessivo com o braço direito. julgo improcedente o pedido de pensão vitalícia. julgo procedente o pedido de 02 (dois) vales-transporte por dia trabalhado, correspondente ao valor total por dia de trabalho de r$4,60 (quatro reais e sessenta centavos), considerando o valor da passagem na época. "
2,defiro a dilação de prazo por mais 15 dias. 
0,julgo prejudicado o exame dos critérios de transcendência da causa e nego provimento ao agravo de instrumento. 
1,"julgo extinto o processo sem resolução do mérito, nos termos do art. 485, vi, do código de processo civil. "
0,"defiro o pedido de fls. 101, concedendo o prazo de 30 (trinta) dias para atendimento da determinação de fls. 98. "
2,"nego provimento ao agravo de instrumento.méritorecurso da parteitem de recursoconclusão do recursoacórdãocabeçalho do acórdãoacórdãoacordam os excelentíssimos desembargadores da 4ª turma do tribunal regional do trabalho da quinta região, desembargadoras graça boness e rubem nascimento, e sob a presidência da excelentíssima desembargadora ana lúcia bezerra, e com a presença do(a) ex.mo(a) representante do d. "
3,"condeno a ré ao pagamento de reparação por danos materiais ao obreiro no importe de r$-5.000,00 (cinco mil reais), valor que já engloba os pedidos de lucros cessantes, pensão e danos emergentes. "
1,"julgo extinto o processo sem resolução do mérito , nos termos do art. 485, ii e iii, c/c art. 354, ambos do cpc. "
1,extinto o processo por desistência 
1,"julgo extinto o feito sem resolução do mérito com fundamento no art. 485, ii do código de processo civil. "
